"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"","0","1","0","1","0.000000","7","0"
"/Game/Developers/betri/Prototypes/M_Proto.M_Proto","0","0","151","3","0.000000","0","325"
"/InterchangeAssets/gltf/M_ClearCoat.M_ClearCoat","0","0","268","6","0.000000","0","0"
"/InterchangeAssets/gltf/M_Sheen.M_Sheen","0","0","252","6","0.000000","0","0"
"/InterchangeAssets/gltf/M_Default.M_Default","0","0","268","6","0.000000","0","0"
"/Game/LevelPrototyping/Materials/M_PrototypeGrid.M_PrototypeGrid","0","0","21","1","0.000000","0","21"
"/InterchangeAssets/gltf/M_Transmission.M_Transmission","0","0","84","2","0.000000","0","0"
"/InterchangeAssets/gltf/M_Unlit.M_Unlit","0","0","108","6","0.000000","0","0"
"/InterchangeAssets/gltf/M_SpecularGlossiness.M_SpecularGlossiness","0","0","252","6","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","0","84","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","54","6","0.000000","0","5"
"/Engine/EditorLandscapeResources/LandscapeLayerUsageMaterial.LandscapeLayerUsageMaterial","0","0","2","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","0","58","1","0.000000","0","0"
"/Game/Developers/betri/Materials/M_splash.M_splash","0","0","56","1","0.000000","0","0"
"/Engine/EditorLandscapeResources/MaskBrushMaterial.MaskBrushMaterial","0","0","5","1","0.000000","0","5"
"/Game/Developers/betri/Models/map_1blinn6SG_001.map_1blinn6SG_001","0","0","42","1","0.000000","0","0"
"/Game/Developers/betri/Models/map_1blinn6SG.map_1blinn6SG","0","0","42","1","0.000000","0","0"
"/Game/Developers/betri/Models/leave_bush_00_mat.leave_bush_00_mat","0","0","42","1","0.000000","0","0"
"/Game/Developers/betri/Models/leave_bush_01_mat.leave_bush_01_mat","0","0","42","1","0.000000","0","0"
"/Game/Player/TestEnemy/NewEnemies/Crab/Mats/M_Joints.M_Joints","0","0","24","1","0.000000","0","0"
"/Game/Player/Attack.Attack","0","0","40","1","0.000000","0","0"
"/Game/Player/Tank_M.Tank_M","0","0","40","1","0.000000","0","0"
"/Game/Player/TestEnemy/NewEnemies/Crab/Mats/M_Arm2.M_Arm2","0","0","24","1","0.000000","0","0"
"/Game/Player/TestEnemy/NewEnemies/Crab/Mats/M_Arm.M_Arm","0","0","24","1","0.000000","0","0"
"/Game/Player/TestEnemy/NewEnemies/Tadpole/Materials/M_Eyes.M_Eyes","0","0","24","1","0.000000","0","0"
"/Game/Player/TestEnemy/NewEnemies/Tadpole/Materials/M_Body3.M_Body3","0","0","24","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","46","2","0.000000","0","0"
"/Engine/EditorLandscapeResources/SelectBrushMaterial.SelectBrushMaterial","0","0","10","2","0.000000","0","0"
"/Game/Player/TestEnemy/NewEnemies/Octopussy/Mats/concha.concha","0","0","12","1","0.000000","0","0"
"/Game/Player/TestEnemy/NewEnemies/Tadpole/Materials/M_Lip.M_Lip","0","0","24","1","0.000000","0","0"
"/Game/Player/TestEnemy/NewEnemies/Tadpole/Materials/M_Body2.M_Body2","0","0","24","1","0.000000","0","0"
"/Game/Player/TestEnemy/NewEnemies/Tadpole/Materials/M_Body.M_Body","0","0","24","1","0.000000","0","0"
"/Game/Player/TestEnemy/NewEnemies/Octopussy/Mats/M_Tentacles.M_Tentacles","0","0","24","1","0.000000","0","0"
"/Game/Player/TestEnemy/NewEnemies/Octopussy/Mats/M_Skirt.M_Skirt","0","0","24","1","0.000000","0","0"
"/Game/Player/TestEnemy/NewEnemies/Octopussy/Mats/M_Legs.M_Legs","0","0","24","1","0.000000","0","0"
